wikibase_lexeme	wikibase_statement	lila_id	wikidata_lexeme
L92979	L92979-64690FD6-D81D-487D-A2CE-37F743306FC6	lemma/103738	L274350
L92980	L92980-E973F6C2-BA88-473A-BA07-BD6A72A1AB12	lemma/103739	L252099
L92981	L92981-654B5D1D-5114-495A-B032-3A16EA1699E4	lemma/104232	L274352
L92982	L92982-AE28266B-38C5-4439-9D8E-9141A991E9E8	lemma/103741	L274353
L92983	L92983-A46C186C-863A-42B9-AE7F-7E7F26B87EBE	lemma/103742	L274354
L92984	L92984-1D388332-7357-4F88-BD02-42A67924CA19	lemma/103746	L274355
L92985	L92985-F7C98F9A-8053-40EF-8DC2-0FC5F5C11ABB	lemma/103752	L1052011
L92986	L92986-FA320F9E-1646-4FB2-912A-58DE04315E78	lemma/103754	L1052013
L92987	L92987-AC1D3C2A-8695-4B04-AF8C-C0D8928D2FFB	lemma/103758	L274356
L92988	L92988-1BD7D1F2-1333-4AD0-8749-EDDA1D802828	lemma/103760	L274359
L92989	L92989-326E84D3-41EA-4D51-9502-B5ED408B922D	lemma/103762	L274361
L92991	L92991-2A8A2D1C-2188-4911-B027-BDA91DC87660	lemma/103764	L274364
L92993	L92993-0E4557D7-AE9E-47F8-8773-453924069C8A	lemma/103766	L274365
L92994	L92994-CA0C8C7C-5EA0-4AF2-A7A1-9BC0F44ED31B	lemma/104178	L274367
L92995	L92995-5D155804-E80D-4DAF-B174-155BDC79B0B8	lemma/103768	L274368
L92996	L92996-05EA29A6-317E-4682-8F1C-51A003CBA39D	lemma/103769	L274369
L92997	L92997-5B2CD947-0F4B-40A4-99C1-38697BDCE86B	lemma/103772	L274371
L92998	L92998-A038CBAA-5895-440D-8C08-6CA1AAAA6C1B	lemma/103774	L274372
L92999	L92999-1501330D-E756-42B3-9DB1-C007E87C58E3	lemma/103776	L274373
L93001	L93001-7B1E68AA-DA9A-4181-897F-0E98A4509621	lemma/103779	L1052021
L93002	L93002-8C4D65BB-9A41-4ECE-9948-78EE892E7F1B	hypolemma/17262	L274376
L93003	L93003-78F48384-8E82-40B0-B27E-375B00713B56	lemma/103783	L274377
L93004	L93004-2F51F91F-1697-411E-BD0E-7F19F776953A	lemma/103784	L274378
L93006	L93006-6EC53042-E3A8-455F-8674-07D7D5A3FB5A	lemma/103787	L1052027
L93007	L93007-CD26D154-1A0B-4D34-AC7D-4A4AE6B3D1DC	lemma/103788	L274379
L93008	L93008-804E923A-0D21-4FAF-B9EA-0EFEB2F1A029	lemma/103790	L274380
L93011	L93011-BDBEC664-92D0-416B-B3CA-502C59E785B2	lemma/103798	L274382
L93012	L93012-4B0C1070-42BE-42D6-8FB5-2031A847525E	lemma/103804	L274385
L93013	L93013-175949D0-107E-4682-9F2E-1051732E292E	lemma/103806	L1052041
L93014	L93014-02B8098B-749B-41AA-A5AC-02896090B5DD	lemma/103805	L274386
L93015	L93015-74046A3E-D775-4FEC-9E4A-358A49429A34	lemma/103035	L1051576
L93016	L93016-2883CEED-B47E-4CDF-B678-C91B54B3331F	lemma/103812	L274387
L93017	L93017-C09E1996-0986-46E4-9425-2771FDBF7D3B	lemma/103032	L274388
L93019	L93019-EE98C74E-D887-4335-9159-E4FE38651C54	lemma/103819	L274391
L93020	L93020-4904E861-D752-4CE1-97A7-490ACEB02F81	lemma/103823	L274396
L93022	L93022-21B29D20-3D42-46C5-8A0E-C18E20C04B20	lemma/103827	L274398
L93023	L93023-E87179EB-614A-4473-BA7B-239B181AFDC0	lemma/103835	L274404
L93024	L93024-4691B67F-A79D-482C-B1C3-3E4FAD0D9263	lemma/103836	L274405
L93025	L93025-3083FFBC-FB5E-4B39-B133-5FB68BBEB4B8	lemma/103837	L274406
L93026	L93026-4697F4F8-D35A-4857-84FB-DF524F5840A4	lemma/103838	L274407
L93027	L93027-804BD4FA-C6D6-4141-ADAD-55BCBC8FA1D9	lemma/103843	L274409
L93030	L93030-9EAA2445-9D10-4E47-9B98-FD745FE9AC75	lemma/103847	L1052066
L93031	L93031-2DBC658E-5B08-4F6A-B02C-A1B6CEF5F1C7	lemma/104134	L274413
L93032	L93032-6DE0D3E4-EAB3-4C19-BA5F-CEE03C736CFF	lemma/103850	L274417
L93033	L93033-9E136301-F3F8-40E4-A125-43BA352A8C53	lemma/103853	L1052070
L93034	L93034-143061D4-A820-4968-8AC3-7E14141BAA86	lemma/103880	L1052087
L93036	L93036-12B17563-8520-493A-94E4-AE6A9E4D3C76	lemma/103855	L274421
L93038	L93038-C3A32D24-A66B-4D9A-BCE1-8DBD347D9452	lemma/103857	L274424
L93039	L93039-3D4F579E-48D3-4074-8FAF-4D742346A45D	lemma/103861	L274426
L93040	L93040-1638E8A1-F131-4F0C-9149-A9B75D47044C	lemma/103870	L274428
L93041	L93041-C7CD1EBF-D009-4CF5-82EC-E71B830AFC79	lemma/103873	L274429
L93042	L93042-C11DFF9C-7397-4BCC-87B5-A46391777EEA	lemma/103874	L274430
L93043	L93043-0D7A4EA2-1240-416B-858B-DF27840CEF7F	lemma/103876	L274431
L93044	L93044-3F923A00-2C01-46FD-AF22-182EEB2F02D8	lemma/104126	L274432
L93046	L93046-06445B1C-EB63-486A-8B41-9961A061033E	lemma/103886	L274439
L93047	L93047-9F174172-A190-47CF-A7E6-F238FA70276A	lemma/103890	L274441
L93048	L93048-92F08B34-5C55-48A0-AB9E-B4E0B7E870C8	lemma/103895	L274442
L93049	L93049-5C38EB73-956F-45CB-95E5-F6B0BC3784B3	lemma/103898	L274444
L93050	L93050-114A26DB-3D1D-4DC0-8A2C-968CA9677148	lemma/103901	L274448
L93051	L93051-8FBBC0D3-72B7-49AA-A373-051A9A786C6E	lemma/104135	L274449
L93052	L93052-BA828184-0953-4085-A7CD-9E3CC8A09610	lemma/103904	L274451
L93053	L93053-C05D4A8A-6B7C-46FE-838E-EBAFADA52DF8	lemma/103906	L274452
L93054	L93054-E9385501-EB4A-4B69-889A-C18FB3F9DE14	lemma/103907	L274453
L93057	L93057-A758A2E7-B977-4902-B725-29C9AE5839A0	lemma/103912	L274457
L93060	L93060-E98EFB5B-F4F1-4EDC-A19B-AEF4AF35C2FA	lemma/104012	L1052157
L93061	L93061-40A075A7-6B0B-48E9-88DD-891D422174DD	lemma/103915	L274459
L93062	L93062-3302F65C-943B-4E2F-99D5-E37FFFB2CC41	lemma/103916	L274460
L93065	L93065-96825EE0-7A3A-43EB-B13B-D2FE8317445A	lemma/102808	L274462
L93066	L93066-C096ED36-8B8D-42A7-83BA-62F4320D5ED9	lemma/103927	L1052111
L93068	L93068-8CEE6766-21C5-40E1-96E1-E39E584E94C4	lemma/103931	L274465
L93069	L93069-70124FC6-683F-4598-B193-44CAC5D91C1F	lemma/103933	L274466
L93070	L93070-0604DDC6-D47A-47F1-B812-D04337FB7022	lemma/103934	L274467
L93071	L93071-8B2B2C31-F0EB-41CC-80EC-9B66D0FFBD1B	lemma/103936	L274470
L93072	L93072-2A3E2B8D-07AC-43E3-AE6F-E5998E419547	lemma/103944	L274472
L93073	L93073-D0A5877C-0170-49EB-AD95-A63173300C53	lemma/103945	L274475
L93074	L93074-1CDEF9D9-A7C5-4319-A39E-B392AF7FD25F	lemma/103946	L1052123
L93075	L93075-D191700C-58C9-4916-B591-25BFF8216E61	lemma/103948	L274476
L93076	L93076-AE234024-6B9E-4AA8-9691-0BC1D31B3CD4	lemma/103957	L274479
L93077	L93077-B2A7B723-0A4B-4392-9BD1-2815B7B5B176	lemma/103950	L274480
L93078	L93078-D9096E9C-7C19-469E-AAE0-5CFD970BB7CE	lemma/103955	L274481
L93079	L93079-4F4C635D-D894-4A81-9893-BF70320C8375	lemma/103951	L1052126
L93080	L93080-680A6480-8317-4355-9E3E-8217B726CB3B	lemma/103958	L274482
L93081	L93081-55A2D521-E34A-47F4-8C5F-3629272B24B3	lemma/103964	L274486
L93082	L93082-83DA59F2-3198-4FBA-9A56-FD857AF325ED	lemma/103968	L274487
L93083	L93083-4EB17569-0041-4FEB-83E6-BF95B0648E53	lemma/103969	L274488
L93085	L93085-E6750A1C-12DD-4A0D-B3A5-DD2C79EF6863	lemma/104160	L1052252
L93086	L93086-5665DBA9-299F-4507-BD48-0E05ACF1D6EB	hypolemma/17444	L274489
L93087	L93087-7A8FBC17-BB13-4F5C-BC2D-46F04737332A	lemma/103974	L274490
L93088	L93088-A3747F76-96AA-4104-B4FC-44CF61854079	lemma/103982	L274492
L93089	L93089-095B3B52-D46A-40B1-9B6B-81254ABD319F	lemma/103983	L274493
L93090	L93090-7A61AA92-0BB1-42AC-B3D2-C984A592881F	lemma/103984	L274494
L93092	L93092-EDA0DFF9-9A83-4002-AC86-DAAD937B0F7C	lemma/103990	L274502
L93093	L93093-57E0C630-7E25-4C82-8056-B494019DBD6F	lemma/103991	L274503
L93094	L93094-09BC3571-BC9A-47E5-8EEA-644F9DB2F8DA	lemma/103992	L274504
L93095	L93095-82266F39-FDC0-4EAD-B1CD-38229214FDA0	lemma/103994	L274505
L93096	L93096-75A1AFD9-49BE-4050-AB6D-330E47555A1B	lemma/103993	L1052148
L93097	L93097-ECABC2E4-03FC-440B-983C-0609A63426FC	lemma/103995	L274506
L93098	L93098-B44B23FB-D708-48E4-BE1C-57735DCADD3B	lemma/103997	L274507
L93100	L93100-72EE450B-0491-4532-A243-527DE47525A3	lemma/103998	L274508
L93101	L93101-53ACD251-DF94-4614-9097-CAA4774D3C75	lemma/103999	L274510
L93103	L93103-9512A511-DA3F-49FE-A4AF-2C63416828BD	lemma/104010	L274517
L93104	L93104-3715B715-C1C7-419F-B06D-E3E93D9A870E	lemma/104011	L274518
L93107	L93107-23C23F3C-0977-4757-B21D-2B5EB0C8EF79	lemma/104015	L274522
L93108	L93108-A7ECBBC7-63BB-434A-AB0A-65D4C1F1A76C	lemma/104016	L274524
L93109	L93109-5BAC2B9B-B4B5-418B-ACC8-8F853971C678	lemma/104025	L274525
L93110	L93110-1FDFCFD2-AD36-4D78-9C3C-A88961C6F3E1	lemma/104027	L274526
L93111	L93111-7BB5D636-F0FB-411B-BE5C-45C7869D72AF	lemma/104028	L274527
L93112	L93112-7C06125C-171E-4741-9331-B7B9F4BDDA44	lemma/104145	L274528
L93113	L93113-BF4275AE-1626-41EB-B480-A83C8F400A84	lemma/104022	L274530
L93114	L93114-C27BB467-5BC1-4D57-9191-41F15D3255BB	lemma/104151	L274531
L93115	L93115-23FF204F-AA74-42DE-B822-0256DF80483A	lemma/104153	L274532
L93116	L93116-CB348418-09DB-404E-81B6-B48ADBC8246D	lemma/104029	L274533
L93117	L93117-9D0CD9FC-54D6-4E03-86CF-223E595865E0	lemma/104031	L274534
L93118	L93118-9CE6F337-6F52-49AD-BAC8-ADB4CC58E13F	lemma/104032	L274535
L93119	L93119-AE665A86-E91E-4361-82AA-EE61D83F1960	lemma/104040	L1052174
L93120	L93120-5F82EEDB-0795-470A-B6B8-8F04CC019A99	lemma/104041	L274536
L93121	L93121-087F6585-FB82-459B-97E0-D64479EF01AE	lemma/104043	L274537
L93122	L93122-0A8DA92C-6445-421C-8C01-DFD2A110798E	lemma/104044	L274538
L93123	L93123-CA42E105-CAE9-4441-A301-27612C9C3295	lemma/104047	L274540
L93125	L93125-58F00785-5847-44DC-93A6-A2C88AB9FB0C	lemma/104049	L274541
L93126	L93126-39ABA14B-A4CE-448D-877A-7522C7D5FD76	lemma/104057	L274542
L93127	L93127-B7063F86-F97E-4494-8497-F8F5443A05E5	lemma/104058	L274543
L93128	L93128-61D940FC-C97F-4F17-B0CA-432AF2F09A73	lemma/104061	L274544
L93130	L93130-3ECF26E1-A53E-4104-A2E4-FD3BD696C94D	lemma/104065	L274546
L93131	L93131-5E11459B-12D0-4A0A-BABE-DF2AF7AEB22C	lemma/104071	L274548
L93133	L93133-97802CEE-038E-4F7B-B594-801FB6AFC7D4	lemma/104076	L274550
L93135	L93135-14BD49C8-0793-4242-AC19-2BB667ACE4D8	lemma/104078	L274554
L93136	L93136-9200A589-1973-472F-9622-7165A1D34269	lemma/104079	L274555
L93137	L93137-E698113B-13EB-45BD-AD5B-1586E7AAA81D	lemma/104080	L274556
L93139	L93139-937F00C9-DBFE-4186-B4B6-69BBAD2AE4B2	lemma/104085	L274558
L93140	L93140-CB99E2FD-DA04-4EF9-8237-24E55C4EE81F	lemma/104088	L274559
L93141	L93141-483DC87F-7798-4C46-B212-DF533CDF7C2F	lemma/104091	L274561
L93142	L93142-F314A2C2-68CB-4C04-94B0-C35D9CD1DB85	lemma/104092	L274562
L93143	L93143-5B351F6F-0F4A-4E9C-9FB5-9FA928493445	lemma/104095	L1052203
L93144	L93144-7E2A9441-7568-4DEA-B60C-FB899146FF49	lemma/104103	L274564
L93145	L93145-37E2983D-B56E-41F3-AC5C-9FCD56A5DD57	lemma/104106	L274565
L93146	L93146-D930F8E6-1DFA-4383-A4E3-9064362952BA	hypolemma/17526	L274566
L93148	L93148-DD0B883A-8F83-4546-90F9-B46A87559894	lemma/104112	L1052216
L93149	L93149-FCCBF74F-0B58-40DA-A547-3D7BD7B60E73	hypolemma/43030	L274572
L93150	L93150-9625BFF6-D798-4A2A-998A-BAB55E8F8A21	lemma/104374	L274578
L93151	L93151-3CA89CC1-0FC4-42E1-9686-6B34C002D9F0	lemma/104261	L1052326
L93152	L93152-33A6A13A-FB06-4A66-8341-9B3A5DD9A924	lemma/104264	L274586
L93153	L93153-5D9D4CEB-2A2C-4DE7-8EEB-906120BD2617	lemma/104274	L274592
L93156	L93156-E4B53743-09BC-41B8-A3DF-A96A2D79FCB7	lemma/104296	L274597
L93157	L93157-EE6887DA-5184-47C9-93BC-D74C4080AAD9	lemma/104298	L1052351
L93158	L93158-C30455E9-3FA4-45C4-8111-51AB5D06B1F6	lemma/104304	L1052355
L93159	L93159-60334B91-AC7F-4FA2-A07A-9904FF873961	lemma/104312	L274608
L93161	L93161-E7BFD598-1D80-42E6-92BF-6AC9CF51C876	lemma/104315	L274612
L93163	L93163-26B4C4DF-1BD6-46A7-AD27-B9D06C98D482	lemma/104322	L1052368
L93164	L93164-9FA38DF9-75EB-428C-A395-461B398CF807	lemma/104327	L274617
L93165	L93165-F7C93924-8B3B-454D-8B23-0A8E8824B143	lemma/104330	L274618
L93166	L93166-AE7ADEE5-AC59-472C-B374-83C8AC2C7EAB	lemma/104332	L1052374
L93167	L93167-C450E873-5FD9-40CE-97D8-48673990F0C9	lemma/104336	L274620
L93168	L93168-83D6E24A-5242-42CC-A0F6-7324C2FA174B	lemma/105019	L1052812
L93169	L93169-B81BEE39-C72E-4E34-B93A-6E79548D1349	lemma/104350	L274625
L93170	L93170-5DB9BB20-A990-47EA-90DC-8D8A170B493B	lemma/104352	L274627
L93171	L93171-510FD856-ABDE-4151-A7A4-490742425981	lemma/104354	L274628
L93172	L93172-4D6FE787-EAEB-4793-9610-765317467C73	lemma/104279	L274629
L93173	L93173-332AC4BC-4A1B-4466-BFF3-3905F76B133D	lemma/104365	L274632
L93174	L93174-85C915FE-71D0-4712-993D-0B3F90219A2A	lemma/104369	L274634
L93175	L93175-18D36DF4-4EDD-449B-94F8-085367E59A08	lemma/54957	L274639
L93177	L93177-DDEF0777-40A6-41AB-9252-E2627F8C95F2	lemma/104382	L274642
L93178	L93178-72FBBF88-05BA-4340-9C13-48E00DD9313F	lemma/104396	L274652
L93179	L93179-59AD4DF0-E259-4F3F-BA60-BB89C6F20DAF	lemma/104404	L274654
L93180	L93180-E845D287-B247-4570-A10D-7B65C2D1124F	lemma/104405	L274657
L93182	L93182-A26E9E25-EBCE-4AD1-863B-866966CEC903	lemma/104411	L274659
L93183	L93183-7BC61A66-CB66-4C33-9D62-4F77222ADD79	lemma/104413	L1052431
L93184	L93184-5CF83BBE-BA15-43D8-96BE-04991A362978	lemma/104415	L274661
L93186	L93186-CD04EA6C-FA0D-4E9A-9009-C017E1217C37	lemma/105022	L1052814
L93187	L93187-D383636D-96AC-4C4E-964A-C2057B12D801	lemma/104422	L274665
L93188	L93188-EBCA3170-D8A2-4547-B2C9-C133590BD276	hypolemma/17840	L274667
L93189	L93189-A64BD718-F69D-4E9C-9037-F4B33A1FC4A6	lemma/104429	L274670
L93190	L93190-1D3D0896-FDCA-4485-A9B7-BE3B04620425	lemma/104432	L274671
L93191	L93191-078E2DE8-1BA8-4293-A6F6-C7458C39AFE3	lemma/104436	L274672
L93192	L93192-93CF6FBC-5043-4478-8E7E-5DD10DC5E4CF	lemma/104438	L274675
L93195	L93195-6AC8940E-EA25-4801-A665-20CA397EF32E	hypolemma/17855	L274680
L93196	L93196-25077442-F70E-4A46-B805-E72C03517A8F	lemma/104446	L274682
L93197	L93197-F6D15EC2-F352-4863-99A8-C02A48D2AC7E	lemma/104450	L274684
L93198	L93198-9D46A328-460B-49A0-B712-ABBBDC7889EC	lemma/104453	L274686
L93199	L93199-99A42E27-521D-4C1B-B442-B4DF565F7FF3	lemma/104455	L274689
L93200	L93200-9B1B34AC-C30F-4453-B0F5-CB90D53227FA	lemma/104463	L274692
L93201	L93201-3F1B8C86-5237-4702-AD40-F8452CE80599	lemma/104464	L274693
L93203	L93203-6776E7D5-90C2-4D3E-9507-FBFDEE8D042E	hypolemma/98902	L274695
L93204	L93204-74920EF4-5756-4893-840D-2DD40A3191B2	lemma/104477	L1052468
L93206	L93206-1A47CBD3-5F70-46A0-B876-E3CBCF28DCDE	lemma/104483	L274699
L93207	L93207-A43ABEF7-BB29-4138-8FA6-9B781D68EC4E	lemma/104463	L274692
L93208	L93208-9530FC12-A2EC-44C9-A7B9-8EDE2A7184A2	lemma/104485	L274700
L93210	L93210-6ED0503A-F848-4ECF-BD01-622DB7C81F72	lemma/104605	L1052548
L93211	L93211-73E8DEC2-C714-4DEC-8678-71BC2C6360F0	hypolemma/17968	L274701
L93213	L93213-48E1DBA5-C73A-4600-8FF7-3DD42CE0FFEE	lemma/104489	L274704
L93214	L93214-BA275A6A-5BB2-4AFA-AF93-4273A5D2DEEA	lemma/104490	L274705
L93215	L93215-909CE02D-DA75-429F-94D4-D690BC498D27	lemma/104492	L274706
L93217	L93217-3BBCDB50-2843-4B39-AEFF-E732A7A5444E	lemma/55124	L274709
L93218	L93218-472867A4-3383-4919-BBCB-FFF02CEB8933	lemma/104495	L274710
L93219	L93219-EB17CD51-DA1B-4CDA-B61C-8D22CC4C8156	lemma/104500	L274712
L93220	L93220-5F77A9FD-D249-447F-A58D-A2EC143C744D	lemma/104501	L274714
L93223	L93223-98AD5AD2-A899-48DA-BBE1-A71570E46049	lemma/104503	L274718
L93225	L93225-AF32D0C5-ADF0-45F6-98BD-8BA7FA26604A	lemma/104506	L274721
L93226	L93226-EA64F638-5029-4716-B55F-881DE21F2F8F	lemma/104512	L274723
L93227	L93227-A9A135B5-8509-4017-9D23-DAD470DBDC25	lemma/104513	L274724
L93229	L93229-B108A214-1FFD-4E9C-9971-573A8C5F2BB6	lemma/104529	L274731
L93230	L93230-4F1CBA34-417A-4A5E-AC11-4D5FC9F48393	lemma/104526	L274732
L93231	L93231-924234F9-1BD9-472F-A397-2C00A783DF4D	lemma/104531	L274735
L93232	L93232-B4772A63-6D86-4F10-9A68-6E86269E03E8	lemma/104535	L274736
L93233	L93233-C5EFD694-2CA6-42DF-8566-E4D140E744B0	lemma/104536	L274737
L93235	L93235-5433A6E1-47B7-4913-8425-13F56AF36642	lemma/104552	L274742
L93237	L93237-86D7905F-BD37-449D-AB81-496C30D9641B	lemma/104559	L274743
L93238	L93238-A2414718-0BE5-40E1-B719-06E200C9BFFD	lemma/104560	L1052517
L93239	L93239-E1F85757-D3C5-4102-A163-7A3A69DD37D5	lemma/104565	L1052522
L93240	L93240-61A2BA4D-D11B-41FA-A6A1-0CC8FAF13441	lemma/104562	L1052519
L93241	L93241-FE30F8AF-AFAF-42B6-AE23-4859B4F9C0F4	lemma/104569	L1052526
L93242	L93242-3E8E26FA-CAAD-4F9C-B03B-9C7F167FCE90	lemma/104573	L1052529
L93244	L93244-A5E8D876-3D88-410D-B80C-CE2806F12A61	lemma/104575	L274746
L93245	L93245-312CD4E7-D4FB-48F3-B8DB-25B6DD7D94D2	lemma/104577	L274747
L93247	L93247-AD83129F-F12A-4AD2-9017-71FCF5FBC72F	lemma/104583	L274749
L93248	L93248-C7576570-8003-4E41-976C-7834F0058A8D	lemma/104374	L274578
L93250	L93250-DA3F95F4-A669-40D0-A11F-2194EDABEEB8	lemma/104594	L274758
L93251	L93251-5A5EE545-2D66-4783-8C9E-272BF5D3EB2D	lemma/104596	L274759
L93252	L93252-C3897E6E-0F79-4FFF-A99E-B953B14CF447	lemma/104600	L274761
L93253	L93253-76539F5F-4A16-4D40-AC62-F1FC20F8ADFF	lemma/104609	L274766
L93254	L93254-679C1A9F-0E54-428A-A382-4336565C8242	lemma/104615	L274767
L93255	L93255-75C8B451-574A-4A1B-B25F-A37C482D39D6	lemma/104616	L274768
L93256	L93256-4E3704AB-71FB-4830-B3AB-B6909CD1365F	lemma/104618	L274769
L93257	L93257-BCDEEFAB-4473-4323-B713-38A91A50E7A5	lemma/104623	L274770
L93258	L93258-B5A85FEC-DABC-4329-85C1-DE2DDCFBE174	lemma/104621	L274771
L93259	L93259-52556D48-3CA9-41BF-B8F4-D5C3094FA9D3	lemma/104626	L274772
L93263	L93263-ACC4E765-FCA9-4AF0-85A4-7E2988C227F2	lemma/104638	L274777
L93264	L93264-C98A7156-4213-4C0D-8EB5-0878CE4E8201	lemma/104646	L274778
L93265	L93265-DA39DC2F-6108-4103-AD58-077131B35996	lemma/104648	L274779
L93266	L93266-5E70C681-1057-4535-A811-E14E03AAE6D1	lemma/104649	L274780
L93267	L93267-46AEC90E-B936-4D33-9E73-2BCC6FDAC3E3	lemma/104663	L274783
L93269	L93269-CF34D9ED-6C32-4177-AB66-CC2EC74910F0	lemma/104684	L274788
L93270	L93270-416AE51C-CABB-46F4-AA6E-E2B7EC93874B	lemma/104688	L1052609
L93271	L93271-7D1C3C64-25D7-4C8F-AD26-3B141C232CB5	lemma/104690	L274789
L93272	L93272-CB89A0EF-E323-4407-9A12-5D41D2B704D1	lemma/104692	L274791
L93273	L93273-0AE4DB82-DE3C-44B7-AD79-4BE0C9E0F417	lemma/104700	L274793
L93274	L93274-F88D074D-2C3D-4B11-9EDA-205BD0382EAA	lemma/104702	L274794
L93275	L93275-C0C148EE-7397-470B-92B7-E37EACDD1269	lemma/104703	L274795
L93276	L93276-DCE2064C-D054-4248-8610-3A4C6B1353BE	lemma/104706	L274796
L93277	L93277-BD73CD80-C3CB-4D75-AD7A-B7EFEB686ED1	lemma/104711	L274800
L93278	L93278-B749E42C-877C-4149-B51A-E497FD45FFF2	lemma/104712	L274801
L93279	L93279-D2EC114B-40F0-4784-802B-2EF056E98B32	lemma/104713	L274803
L93280	L93280-AE484655-ECE6-4B86-930E-069D5C911D42	lemma/104724	L274809
L93281	L93281-A46D859D-BBEA-41FE-9205-C9D10621045E	lemma/104728	L274811
L93282	L93282-8BED3178-B8FF-47B6-918A-8EB2B66AA80D	lemma/104735	L274812
L93283	L93283-D76C1EAF-D2D1-400D-83F3-A61871AFB48E	lemma/104737	L274813
L93284	L93284-6914C5F0-CF6E-4563-B548-3C289F5C8CA1	lemma/104727	L274815
L93285	L93285-95EC8B82-C5A7-45D0-A625-6654C52BEB5C	lemma/104754	L1052648
L93286	L93286-7588E2D7-6E10-4CA6-B6E6-1F868368C6EF	lemma/104756	L274821
L93289	L93289-B132C112-FE8A-4CCC-9F82-517088534430	lemma/113461	L1058614
L93290	L93290-9FE7D577-06EC-426E-A685-50DA2D181EA3	lemma/104760	L1052653
L93291	L93291-229C696B-42B9-45EB-B466-6F718BD811ED	lemma/113840	L279473
L93293	L93293-EE90C996-A2CF-4FE6-AFCF-7D8F0A4B881A	lemma/104779	L274835
L93295	L93295-96859D85-78F2-4CFB-BEE3-9C18B1591AA0	lemma/104787	L1052676
L93296	L93296-4C349602-8DAE-494A-9E11-D7553329967B	lemma/104331	L274837
L93297	L93297-0235F80B-F20E-4575-8C43-9B98545A98A9	lemma/104793	L274840
L93298	L93298-A7D6A995-F452-4E8E-8481-6B0681B41968	lemma/104794	L274841
L93299	L93299-7F7486C8-978C-415E-A111-24343BFABF58	lemma/104799	L274842
L93300	L93300-03F78B75-481A-44CF-8624-10C0EBE492EE	lemma/104801	L1052685
L93301	L93301-B2EF6816-A5F9-428A-AE79-370D7B0D682E	lemma/104805	L274849
L93304	L93304-B3C17FCE-C38E-4035-BB6D-13F9FF9DDFCD	lemma/104808	L274854
L93305	L93305-96476A12-9066-4124-9D30-54022C052F5F	lemma/104811	L274855
L93307	L93307-030505EA-731C-4FB0-B3BA-9BA984DE05A7	lemma/104817	L274860
L93308	L93308-6D53ABDF-AB1E-4177-B3EA-9B9D3E2B0067	lemma/104824	L274863
L93309	L93309-FBAF33C8-F650-4B52-BEA7-52C8874567DD	lemma/104832	L274868
L93310	L93310-97DACE30-3F73-41D5-ADB1-87CA8335DEDD	lemma/104833	L274869
L93311	L93311-58C9B640-12B9-4EFE-B4BA-5D8C9BE65485	lemma/104835	L274871
L93312	L93312-524C9190-9DF1-47A3-89D3-71BF2107923C	lemma/104837	L274872
L93314	L93314-8B5329C7-94D1-4870-A811-EB17564C427D	lemma/104842	L274875
L93315	L93315-7D9E1295-1AE9-4316-BC81-C91F45D84AD1	lemma/104845	L274876
L93316	L93316-DAAA5F20-5CAD-4B64-8F9F-0275E36F469C	lemma/104847	L274877
L93317	L93317-8C0273C1-27BB-4D12-B4B2-46E93FE263E7	lemma/104850	L274878
L93318	L93318-5FE2246E-6D91-4188-86EC-BC188F5595EC	lemma/105017	L274880
L93321	L93321-9B1DE31F-D2EA-4ABE-A07F-BFA87B076947	lemma/104866	L274888
L93323	L93323-7414E694-5692-44DA-A214-AD72F8E8B477	lemma/104869	L274892
L93324	L93324-4529DFC0-B60A-48E1-A542-589FA7C204FE	lemma/104870	L1052723
L93325	L93325-6BE0A684-DE8B-43D7-B350-6ED7152E36CE	lemma/104871	L274894
L93326	L93326-9A969DC0-C147-4491-B629-68093083DF61	hypolemma/18247	L274896
L93327	L93327-5B142728-1208-4866-9B86-9DF6A1E1DB54	lemma/104876	L274895
L93328	L93328-91BEDA14-7FB4-4A11-B485-E7B850000ED9	hypolemma/18247	L274896
L93329	L93329-56D7B89A-E18E-4C6B-B571-BBC99DDD86FB	lemma/104878	L274898
L93330	L93330-096B65B2-C4E5-4A0B-8C3A-82C07510EA06	lemma/104879	L274901
L93331	L93331-A0F1D4AC-495F-4B01-B3D8-E8A044B03597	lemma/104880	L274902
L93332	L93332-3C02C388-5236-4855-8763-FE8095FBADA6	lemma/104882	L274904
L93333	L93333-E0BB6439-F959-46F7-A082-D2DB0486A538	lemma/104885	L274905
L93334	L93334-E910B198-40B4-4F29-9308-7C8E9024F324	lemma/104886	L274906
L93336	L93336-D98CEA55-E11B-4BC7-BA1A-EE05C9473FE2	hypolemma/113140	L274909
L93337	L93337-96805172-7824-445B-8015-B0093B5D2CE4	lemma/104890	L274910
L93338	L93338-AD3CDC2A-82B6-4F48-948B-FF54254B608C	lemma/104892	L274912
L93339	L93339-B0B638E3-6634-410C-9264-16167903CD5A	lemma/104893	L274913
L93340	L93340-E6F3AE45-A9B5-42BF-A5FB-6D5150999007	lemma/104894	L274914
L93341	L93341-2DDB99F0-9D8E-4163-916D-5845A3C3E160	lemma/104896	L1052734
L93342	L93342-F6AC2C25-7919-40B6-A532-E0E3D2E9B70D	lemma/104897	L1052735
L93344	L93344-C4D23C6A-998A-431F-A82D-CFE94CC1E738	lemma/104900	L274919
L93345	L93345-BE979812-2563-4400-B308-EA2BEFB85C3B	lemma/104903	L274920
L93346	L93346-EC2A67D3-BC9B-4B33-9463-A56352DE8411	lemma/104905	L274921
