testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	token_zbk	testuingurua-ezker	testu-hitza	eskuin-testuingurua
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	63	... . Vstecabea dirudi onec ; baña da gauza	bat	egungo euanjelioac dionari ederqui dagocana . Esatendigu , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	92	... dionez , gurutzea da bere beso biaquin balanza	bat	, ceñean pisatu zan Christoren gorputza , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	378	... icen au : miña ta garratza dan bezan	bat	, betor , ta bego : eztagoca besteric ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	487	... albaneguiz beren lecutic , Señora oni beardanezco coroe	bat	eguiteco ! Non cera , Cinthia , illargui ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	610	... ta üanditu ciñatenac ! norc emango liquet zuetatic	bat	, nere ezpañac uquitzeco , ta Virgiñaren negar ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1064	... bacantzen cigola zaldun pilla aundi batzuetan bezala batallaren	bat	ematera diazenean ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1112	... zanetic izandu diran ama guciena , ur tanta	bat	itsasoaren aldean bezala da , Virgiñac bere semeari ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1849	... ere ezteue Virgiñaren doloreen anzic , ecer ez	bat	dirade aen aldean . Eztiot guezurric , ezpada ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#13	2097	... aiñ estu loturic , ta charidadeaz aiñ daude	bat	eguinic , non ecin semearen anima uqui daguiquean ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2284	... guichitzen , edo gozatzen ei da , consueloren	bat	nombaitetic artzen danean . Bada Virgiñaren doloreac consueloric ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2452	... ezpada uts utsic zeure negarretan arquitu gozagarri piscaren	bat	. Baña cer diot ? Santu ascoc diotenez ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2548	... pisu itogarri hori arintzeco , zeure anima piscacho	bat	bederic lasaitzeco : ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2593	... eguiña . Eguizue , emacumeac , beste emacume	bat	onela icusteaz ; bai aldaquizue , zeuen gucien ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2622	... . Eguizue , justuac , padecitzen dacusutenean anima	bat	pecatuaren itzalic ere izan ezteuana . Eguizue , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2683	... eguizu neure beguietara zeure itsaso orretatic negarrezco erreten	bat	, eraguin daguion negar neure biotz oni , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#16	2753	... iracurri neuan , Eutimion , ta Metafrasten gauza	bat	, arrezquero nere biotza chitez uquitzen didana . ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2949	... ez beste icengoitiric andre doloreetaco orrec ? hizcho	bat	escatu dizu , ta eranzuten diozu aiñ latz ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3144	... zaca Zebedeoarena Jaungoico baten semearen orde , mirabe	bat	mundu onen jabearen orde , guizon uts bat ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3151	... bat mundu onen jabearen orde , guizon uts	bat	Jaungoico eguiazco baten orde ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3193	... izan baitzan aren seruitzari , ta seme leyal	bat	: baña bai gueure aldetic ; ceiñac gueure ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	3670	... bai aberé , bai zembor , bai arcaitzen	bat	. Baña Eleiza Santea , zeure colcoan , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4263	... gueren biotzetan betico gorroto , ta etsaigo aundi	bat	pecatuari . Orrequin emendic aurrera ezta joango gueure ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	154	... zatzu ; oyec ; Santo Tomasec dion eguia	bat	da ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	195	... diradela . Jaquin bezaté izan dala munduan argui	bat	guziequicoa eta guzieracoa gueren adiunetic campora , argui ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#8	593	... . Cergatic ece , aren gaba , egun	bat	adiña , arguituco dan ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	793	... . Noiz da	bat	batetan agertzen dan munduan San Agustiñ-en arguia , ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	827	... ciraden herege cital eta herejia ichusi guciac ;	bat	ere aien aztarnaric gueratu gabe lur-gañean . “ ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#18	1580	... ; non Jangoicoari berari eguiten dioten beguizco santu	bat	, ta amore-miñez gaizquitzen duten ...
bat	bat	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1809	... aren arguien eguinquizunera , aiñ etzan contentu bere	bat	bacarric zuen biotzarequin amatzeaz ; non paqueric izan ...
bata	bata	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	113	... Alde	bata	pecatuaz beteric , infernuraño jachia cegoan , artan ...
batac	batak	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#18	3428	... ? Non dabiltza ? non ibillico dira ?	batac	saldu , ta besteac ucatu deu , ta ...
batagandic	batagandik	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1145	... jaiotzen nai deuan amagandic , ezta bere escuco	batagandic	ez jaiotzeco , ta besteagandic bai . Baña ...
batalla	bataila	bataila	https://monumenta.wikibase.cloud/wiki/Lexeme:L10056	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1083	... Nori baña eman bear dio	batalla	au Virgiñaren amodioac ? Nori ? beste edoceiñ ...
batallaren	batailaren	bataila	https://monumenta.wikibase.cloud/wiki/Lexeme:L10056	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1063	... , bacantzen cigola zaldun pilla aundi batzuetan bezala	batallaren	bat ematera diazenean ...
batayatu	bataiatu	bataiatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10052	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#7	399	... San Agustiñ-en arguiari ; ta ara nola .	Batayatu	artean guizon gucioc ez oi guera , San ...
batayo	bataio	bataio	https://monumenta.wikibase.cloud/wiki/Lexeme:L10060	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	695	... bere uquitzeaz eta virtutez , guero izango guenduen	batayo	santuraco ...
batayo	bataio	bataio	https://monumenta.wikibase.cloud/wiki/Lexeme:L10060	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	773	... cebillen Eleizari bere arguia prestatzen ; eta artaraco	batayo	Santubaren urac leenere baño birtute eta indar gueyagoz ...
batbaicican	batbaizikan	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#16	2881	... , damu , dolore aundietatic . Baña hizcho	batbaicican	, ez ? Ez nai deu , ta ...
batbederic	batbederik	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#16	2821	... nere semea ? esan eguidazu cerbait , hizcho	batbederic	, zeure ama gozatzeco ta consolatzeco : norc ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	543	... azáz , chongoz , biri cáquiz , hitz	batean	, zadurá báduraz beteâ ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	38	... Ceruan ) ; hipuynac diote , ecen beiñ	batean	Justiciac lurrean lecuric arquitzen etzeuala , gogaitu ta ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	212	... , bai gure pecatuac bere contura artu cituan	batean	, bai Jaungoico-guizon , pecatu bagueco , Virgiñaren ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	450	... oi cideen , zeu ciñala araco ceruan beiñ	batean	aguertu zan señale aundia , izarrez burua , ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	827	... ain zori oneco berriac ematen ciran , egun	batean	, etzetorren ondo , bere icenean Virgiñari gogoratzea ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	850	... , damu , miñ , atsecabé gucien egun	batean	, eztagoquit gaizqui , orreec guztioc berriro esatea ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	865	... icenean . Banoaquio bada graciaren esque , Eleizarequin	batean	esaten digodala , Aue Maria ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1297	... lapur biren artean zur bati josia . Atozte	batean	seculaco urte guciac , esan eguidazue arren , ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1396	... , baña biotzez , ta bien arteco hizcunderen	batean	, onela hitzeguin ceguiquion . Ay nere seme ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4235	... esquer gaistoco humeac ! gueure escuan dago graciarequin	batean	Virgiñari bere doloreac gozatzea , ta ecartea bere ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	69	... aimbeste izarretan iśuria eta bacandua dagoen arguia ,	batean	biribillatua egondu zan lenengo iru egunetan : ...
batean	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#14	1113	... dan iñor ere argana igo eciñ ditequean argui-lecu	batean	 ...
batec	batek	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	291	... , luceá . Niri eztagoquidánean , beste Euscáldunen	batec	ichequi bear lioque saill oní , iñon dirarén ...
batec	batek	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	348	... sandiari , ecen eguzquiaren jayet-aldêan diradén hizquerac daquitzán	batec	, erráz adituco duelá Eusquéraz ; ta guezurcho ...
batec	batek	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2900	... Eguingo al digo bada alaco seme	batec	escari chiqui hori . Adi daguigun , cer ...
batec	batek	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3115	... Bernardoc , bai mindu ceueen bi auco ezpata	batec	baño gueiago ...
batec	batek	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#12	957	... Ichozu , esango dit contuan dagoanen	batec	; ichozu ; San Agustiñ bada lembicico argui ...
baten	baten	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	892	... aleguiñez cembat pisatzen deuen Virgiñaren doloreac . Dolore	baten	neurria ta sustraya omen da amodioa : cembat ...
baten	baten	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1195	... ta erreguiña , ta beste gucien gañean Jaungoico	baten	ama izatea . Orain bada oec cecusala beregan ...
baten	baten	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3140	... , dio santuac ! ematen zaca Zebedeoarena Jaungoico	baten	semearen orde , mirabe bat mundu onen jabearen ...
baten	baten	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3154	... jabearen orde , guizon uts bat Jaungoico eguiazco	baten	orde ...
baten	baten	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3934	... , ta beste damu aundi , ta eguiazco	baten	señale aec , orduan conturatu zan gende gucia ...
batena	batena	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1353	... isuria , ta borrero latzen oñazpietan , abere	batena	baliz bezala . Miia gueldi ta isil , ...
batequín	batekin	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	355	... , erráz adituco duelá Eusquéraz ; ta guezurcho	batequín	horí sinistérazo nai izándu digu . Uztâc árren ...
batera	batera	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1896	... azaletic ere uquitzera ? nola etzoazte beste alde	batera	? eztira ausaz munduan biotz pecatariac , ondo ...
batetan	batetan	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	794	... . Noiz da bat	batetan	agertzen dan munduan San Agustiñ-en arguia , aiñ ...
batetic	batetik	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	326	... , ta icen au da alde	batetic	ezti , gozoa , ta adierazotzen digu Jaungoicoaren ...
batetic	batetik	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#13	2050	... . 2 . ) , zeure aren anima	batetic	bestera igaroco deu ezpatac . Nola izango da ...
batetic	batetik	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	735	... ” Maniqueoac alde	batetic	; Donatista-c bestetic ; Arianoac emendic ; Pelagianoac ...
bateán	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	417	... nai deaná . Esayóc , beguirá ditzalá hirequin	bateán	, naiz áurquez , naiz atzez , goitic ...
bateán	batean	bat	https://monumenta.wikibase.cloud/wiki/Lexeme:L10043	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	478	... sartu zana , eta arén baztér guztietan era	bateán	, ta luzaró chit , hitzeguín zána . ...
bati	bati	bati	https://monumenta.wikibase.cloud/wiki/Lexeme:L10093	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1040	... amodioa beraz izango cion bere amac onelaco seme	bati	? Virgiñac berac badio , ecen Jaungoicoac prestatu ...
bati	bati	bati	https://monumenta.wikibase.cloud/wiki/Lexeme:L10093	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1294	... cituena , iltze gogorrez lapur biren artean zur	bati	josia . Atozte batean seculaco urte guciac , ...
bati	bati	bati	https://monumenta.wikibase.cloud/wiki/Lexeme:L10093	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3768	... cigon bicia Joab capitanac modu gaistoz Abner ceritzan	bati	: ta ara non bereala Israel gucian eleac ...
bati	bati	bati	https://monumenta.wikibase.cloud/wiki/Lexeme:L10093	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4193	... seme preciatuari , aita bezaiñ Jaungoico dan guizon	bati	, gaitzic iñoiz ere ez , onic asco ...
batzarre	batzarre	batzar	https://monumenta.wikibase.cloud/wiki/Lexeme:L10144	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#18	3355	... nere iritzian bearco deue Christoren Escuelarrac , aren	batzarre	( ballerá ) santu au compontzen deueenac . ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1749	... aec , ceiñ gogorrac , ceiñ izugarriac !	batzuec	buru-baguetuac , besteac elorri , aranzetan arrastatuac : ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1755	... buru-baguetuac , besteac elorri , aranzetan arrastatuac :	batzuec	azotéz mallatuac , besteac berun urtu gorian irabiatuac ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1763	... mallatuac , besteac berun urtu gorian irabiatuac :	batzuec	surtan erre quiscalduac , besteac putzu izoztuetan itoac ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1771	... erre quiscalduac , besteac putzu izoztuetan itoac :	batzuec	laurguituac , laurenduac , besteac erdiratuac : batzuec ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1776	... batzuec laurguituac , laurenduac , besteac erdiratuac :	batzuec	lauridiquituac , besteac beren ezur gucietan abarraquituac , ...
batzuec	batzuek	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#18	3503	... etzan miresteco , guizon argal erbal , bildurti	batzuec	utseguitea . Baña oraingo Christoren escuelarrac , aiñ ...
batzuetan	batzuetan	batzu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10161	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1061	... , bacantzen cigola zaldun pilla aundi	batzuetan	bezala batallaren bat ematera diazenean ...
bay	bai	bai	https://monumenta.wikibase.cloud/wiki/Lexeme:L8791	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	241	... , arén erábea , eta sayetsetic Euscáldunac ere	bay	. Itsuen guisá joezác emén , joezác or ...
bay	bai	bai	https://monumenta.wikibase.cloud/wiki/Lexeme:L8791	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2660	... Jaungoicoa aiñ maiz , ta aiñ itsusqui .	Bay	, ama santea , negar eguin nai det ...
bay	bai	bai	https://monumenta.wikibase.cloud/wiki/Lexeme:L8791	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#21	4084	... dolorez , ta miñez Virgiña guciz santea .	Bay	bai , badira emen asco onezaz alegratzen diranac ...
bazcatu	bazkatu	bazkatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L10237	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2999	... ondo aci cinduena , ain gozo bere bularrez	bazcatu	cinduena : cergatic bada deitzen eztiozu zeure ama ...
baztér	bazter	bazter	https://monumenta.wikibase.cloud/wiki/Lexeme:L10256	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	475	... dec Espáñian lénengo sartu zana , eta arén	baztér	guztietan era bateán , ta luzaró chit , ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	302	... oní , iñon dirarén etsai hitzóntziac isiltzeco .	Baña	ez bide du Eusquéra gaisoác , are bere ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	498	... ) ; aimbéste urterén epéan atsotu bear :	baña	ichoc , oraindican vizcorra céagoc , gaztétzera céac ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	60	... vicitza balanzaren echean . Vstecabea dirudi onec ;	baña	da gauza bat egungo euanjelioac dionari ederqui dagocana ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	283	... , gaur bear guenduela icen orren eguna :	baña	ez egunic idorotzen dedala , ez eta Virgiñaren ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	393	...  	Baña	cer da hori Virgiña guciz santea ? cer ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	653	... . Belaunico Virgiñaren oñetan jarrico ote naiz ?	baña	cer esango digot , oñacez , damuz , ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	684	... miñac aunditzea . Igoco ote naiz cerura ?	baña	oraindio ichia dago , ta arria bezain gogor ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	719	... natzaca gurutzean dagoan gueure Erredentoreari ? Bai ,	baña	onezquero ausaz il da . Cer eguingo det ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	970	... choragarri diranean , are amatzen dituzte gueiago .	Baña	pauso ber ber oetatic negar eguiten deue‚ alaco ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1002	... ta cembat damu artu cenduan aren eriotzean ?	baña	nolaco semea ? Christo Jesus , ama gucietatic ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#8	1079	... Nori	baña	eman bear dio batalla au Virgiñaren amodioac ? ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1151	... batagandic ez jaiotzeco , ta besteagandic bai .	Baña	Virgiñac zor cion bere semeari zan , eta ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1390	... Cer esaten diozu ? Aoaz isillic dago ,	baña	biotzez , ta bien arteco hizcunderen batean , ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1840	... doloreac : ta onela beste gañeraco guztiac .	Baña	ala ere ezteue Virgiñaren doloreen anzic , ecer ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1928	... , ta aen biotz itsusietan sar zaitezte :	baña	ez arren Virgiñaren biotz beraa somindu , ez ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2333	... , orreec dira etsai gogor ezaguera baguecoac :	baña	eztala iñor ere Virgiña consola daguiqueanic , are ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2453	... utsic zeure negarretan arquitu gozagarri piscaren bat .	Baña	cer diot ? Santu ascoc diotenez , ceiñ ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2482	... arintzen oi deue beren biotzetaco pisu itogarria :	baña	Virgiñari quendu citzacola , dioe , are atseguin ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2551	... , zeure anima piscacho bat bederic lasaitzeco :	baña	 ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#16	2745	... Eguia da : Euangelioac eztigu ecer esaten :	baña	beiñ iracurri neuan , Eutimion , ta Metafrasten ...
baña	baina	baina	https://monumenta.wikibase.cloud/wiki/Lexeme:L8835	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#16	2879	... alaco miñ , damu , dolore aundietatic .	Baña	hizcho batbaicican , ez ? Ez nai deu ...
